1,7163MB,7168MB
2,14.4GB,14.4GB
3,21.6GB,21.5GB
4,28.7GB,28.7GB
5,35.9GB,35.9GB
6,43.0GB,37.2GB
7,50.4GB,37.5GB
8,57.4GB,42.8GB
9,64.7GB,48.1GB
10,72.0GB,53.5GB
11,79.1GB,58.8GB
12,86.1GB,64.1GB
13,93.3GB,69.3GB
14,101GB,71.7GB
15,108GB,76.8GB
16,115GB,81.8GB
17,121GB,86.8GB
18,127GB,91.8GB
19,130GB,96.9GB
20,133GB,102GB
21,125GB,107GB
22,129GB,103GB
23,131GB,107GB
24,134GB,111GB
25,127GB,115GB
26,128GB,119GB
27,132GB,122GB
28,134GB,126GB
29,129GB,129GB
30,130GB,130GB
