30,0.05986,143.5GB,
31,0.1189,144.5GB,
32,0.2325,147.8GB,
33,0.4624,148.6GB,
34,0.9213,149.2GB,
30,0.2907,29.55GB,
31,0.4264,40.29GB,
32,0.6897,49.82GB,
33,1.201,57.23GB,
34,2.276,60.4GB,
35,4.428,62.08GB,
36,8.729,62.98GB,
37,17.15,64.11GB,
38,33.67,65.31GB,
39,67.06,65.58GB,
40,132.7,66.29GB,
