1,44.69GB
2,44.67GB
4,45.1GB
8,45.3GB
16,45.85GB
32,46.21GB
64,46.73GB
128,46.84GB
256,47.31GB
512,43.37GB
1024,43.16GB
2048,42.57GB
4096,41.68GB
